"","date","positive","neutral","negative","region","district","source","transport_type","comment"
"26","2024-01-26","41","39","37","Eastern","Kirehe","Surveys","Motorcycle","confusing expensive safe dangerous unreliable comfortable long wait clean"
"27","2024-01-27","36","52","11","Eastern","Gatsibo","News Comments","Bicycle","affordable dangerous safe dangerous affordable confusing safe"
"28","2024-01-28","38","54","16","Northern","Gicumbi","Surveys","Bus","fair system convenient convenient clean unreliable unreliable price too high confusing"
"29","2024-01-29","29","33","25","Kigali","Kicukiro","News Comments","Motorcycle","affordable dirty price too high safe"
"30","2024-01-30","24","37","17","Eastern","Nyagatare","News Comments","Taxi","safe price too high safe confusing"
"31","2024-01-31","49","38","27","Kigali","Kicukiro","Facebook","Bus","dangerous price too high dirty better service convenient expensive safe comfortable"
"32","2024-02-01","47","33","24","Western","Ngororero","Twitter","Walking","dirty comfortable fair system affordable"
"33","2024-02-02","41","34","27","Western","Ngororero","News Comments","Bicycle","clean unreliable fair system"
"34","2024-02-03","44","60","14","Kigali","Kicukiro","Facebook","Walking","unreliable unreliable comfortable convenient fair system unreliable affordable better service"
"35","2024-02-04","21","60","14","Northern","Rulindo","Twitter","Taxi","clean clean expensive confusing unreliable safe convenient"
"36","2024-02-05","34","34","22","Western","Karongi","News Comments","Taxi","long wait fair system long wait"
"37","2024-02-06","43","57","30","Southern","Ruhango","Facebook","Bus","clean unreliable safe"
"38","2024-02-07","26","47","30","Eastern","Ngoma","News Comments","Motorcycle","long wait better service unreliable price too high"
"39","2024-02-08","30","42","37","Northern","Burera","News Comments","Motorcycle","long wait fair system long wait comfortable safe clean"
"40","2024-02-09","27","43","34","Eastern","Kayonza","Surveys","Walking","dirty long wait better service convenient dangerous dirty comfortable"
"41","2024-02-10","24","51","30","Eastern","Kayonza","News Comments","Motorcycle","confusing expensive convenient affordable expensive dangerous fair system"
"42","2024-02-11","32","32","34","Kigali","Gasabo","News Comments","Motorcycle","dirty fair system clean fair system confusing"
"43","2024-02-12","32","40","14","Kigali","Nyarugenge","Surveys","Bicycle","confusing convenient expensive comfortable long wait dirty unreliable"
"44","2024-02-13","31","50","18","Western","Nyabihu","Surveys","Motorcycle","expensive confusing convenient better service"
"45","2024-02-14","25","40","20","Southern","Ruhango","Facebook","Motorcycle","fair system clean affordable clean clean safe price too high"
"46","2024-02-15","24","55","22","Southern","Kamonyi","Surveys","Bus","unreliable long wait price too high safe dirty dirty price too high confusing"
"47","2024-02-16","27","36","29","Kigali","Kicukiro","News Comments","Bus","unreliable clean long wait"
"48","2024-02-17","34","45","34","Northern","Gakenke","Surveys","Bicycle","dirty clean unreliable clean expensive long wait"
"49","2024-02-18","28","38","18","Eastern","Bugesera","News Comments","Bicycle","price too high dangerous confusing clean fair system safe clean"
"50","2024-02-19","46","36","35","Western","Karongi","News Comments","Walking","affordable comfortable convenient convenient long wait expensive convenient"
