"","date","positive","neutral","negative","region","district","source","transport_type","comment"
"301","2024-10-27","44","58","23","Southern","Nyamagabe","Surveys","Bus","comfortable unreliable better service comfortable"
"302","2024-10-28","20","35","14","Western","Rusizi","Twitter","Motorcycle","dangerous affordable safe expensive dangerous confusing convenient clean"
"303","2024-10-29","43","49","29","Northern","Gakenke","Twitter","Bus","dirty better service dirty confusing comfortable safe"
"304","2024-10-30","42","35","26","Northern","Rulindo","Twitter","Motorcycle","long wait affordable dirty price too high"
"305","2024-10-31","39","31","14","Kigali","Gasabo","Facebook","Taxi","expensive price too high expensive convenient"
"306","2024-11-01","34","46","27","Northern","Gicumbi","Twitter","Bus","better service affordable clean clean"
"307","2024-11-02","25","33","23","Northern","Rulindo","Surveys","Bicycle","comfortable dangerous better service unreliable better service affordable"
"308","2024-11-03","20","38","23","Western","Nyamasheke","News Comments","Motorcycle","better service affordable unreliable long wait expensive"
"309","2024-11-04","34","43","35","Kigali","Kicukiro","Facebook","Taxi","convenient safe dirty fair system"
"310","2024-11-05","35","48","32","Southern","Gisagara","Surveys","Motorcycle","dirty better service better service affordable expensive affordable long wait"
"311","2024-11-06","32","54","24","Northern","Musanze","News Comments","Bicycle","dangerous unreliable confusing confusing"
"312","2024-11-07","34","36","26","Western","Rusizi","Surveys","Bus","dangerous price too high convenient safe"
"313","2024-11-08","41","44","17","Northern","Gicumbi","News Comments","Walking","dangerous convenient fair system confusing"
"314","2024-11-09","22","43","12","Northern","Gicumbi","Facebook","Taxi","safe dirty clean clean comfortable clean safe safe"
"315","2024-11-10","31","52","22","Northern","Burera","News Comments","Walking","better service expensive dangerous clean better service"
"316","2024-11-11","44","51","10","Western","Nyabihu","Surveys","Walking","safe price too high dirty dirty price too high convenient"
"317","2024-11-12","45","55","36","Western","Karongi","News Comments","Bus","price too high price too high long wait fair system affordable price too high affordable"
"318","2024-11-13","27","57","40","Western","Nyabihu","News Comments","Motorcycle","affordable dangerous expensive safe"
"319","2024-11-14","31","59","31","Northern","Gicumbi","News Comments","Walking","fair system expensive convenient comfortable dangerous convenient"
"320","2024-11-15","46","47","35","Western","Ngororero","Facebook","Bicycle","safe clean safe affordable dirty long wait better service"
"321","2024-11-16","46","46","37","Western","Nyamasheke","Facebook","Taxi","dirty dangerous dangerous comfortable long wait better service dangerous"
"322","2024-11-17","29","35","26","Eastern","Bugesera","News Comments","Motorcycle","better service dangerous price too high affordable long wait dangerous dirty confusing"
"323","2024-11-18","24","44","27","Northern","Gakenke","Surveys","Motorcycle","comfortable confusing safe convenient dangerous confusing dirty long wait"
"324","2024-11-19","41","38","18","Northern","Gakenke","Twitter","Motorcycle","better service better service safe dangerous dangerous fair system expensive convenient"
"325","2024-11-20","23","31","30","Eastern","Gatsibo","Facebook","Walking","dangerous fair system affordable safe"
